id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_admin1,loc_admin2,click,dest_id,dest_name,loc_name,equal to dest,ok
idsbb7850c5,Wanderweg Gottardo Süd.,Wanderweg Gottardo Süd.,46.4782177,8.8009636,/content/internet/plc/leisure-holidays/de/tagesausflug/tipp-wanderweg-gottardo-sued.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/WanderwegGottardoSued.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ticino,Leventina District,"{'lat': 46.4782177, 'lng': 8.8009636}",8505204,Faido,Faido,TRUE,
idsbb7681a5,Höhenrundweg Gryden Lenk.,Höhenrundweg Gryden Lenk.,46.4179956,7.3894335,/content/internet/plc/leisure-holidays/de/tagesausflug/hoehenrundweg-gryden-lenk.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/lenk-simmental_2018lbb-gryden08copyrightlenk-bergbahnen.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Obersimmental-Saanen District,"{'lat': 46.4179956, 'lng': 7.3894335}",8507279,Lenk im Simmental,Lenk,FALSE,
idsbbc4184b,Urnersee.,Urnersee.,46.9027239,8.6253481,/content/internet/plc/leisure-holidays/de/tagesausflug/urnersee.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/lorelei-badeinselnperretfotoch.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Uri,Uri,"{'lat': 46.9027239, 'lng': 8.6253481}",8505112,Flüelen,Flueelen,FALSE,
idsbbcfcf43,Von Bellinzona nach Locarno dem Fluss Ticino entlang.,Von Bellinzona nach Locarno dem Fluss Ticino entlang.,46.19506,9.0289874,/content/internet/plc/leisure-holidays/de/tagesausflug/tipp-von-bellinzona-nach-locarno.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/bellinzonalocarno.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ticino,Bellinzona District,"{'lat': 46.19506, 'lng': 9.0289874}",8505213,Bellinzona,Bellinzona,TRUE,
idsbbf274c6,Grande Traversée Parc Jura Vaudois.,Grande Traversée Parc Jura Vaudois.,46.55540205,6.26610703,/content/internet/plc/leisure-holidays/de/tagesausflug/grande-traversee-parc-jura-vaudois.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/fruitiere-nyon-4annemoscatello.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Vaud,Nyon District,"{'lat': 46.55540205, 'lng': 6.26610703}",8583861,"Saint-George, Le Fort",Saint-George,FALSE,
idsbb4bd898,Weg der Schweiz.,Weg der Schweiz.,46.9498719,8.6220124,/content/internet/plc/leisure-holidays/de/tagesausflug/weg-der-schweiz.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/WegDerSchweiz18.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Uri,Uri,"{'lat': 46.9498719, 'lng': 8.6220124}",8508474,Bauen (See),Bauen,FALSE,
idsbbd5bdca,Kesch Trek – 4-Tagestour im Albulatal.,Kesch Trek – 4-Tagestour im Albulatal.,46.7209731,9.9219624,/content/internet/plc/leisure-holidays/de/tagesausflug/kesch-trek-4-tagestour-im-albulatal.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/143782_web2400.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Praettigau/Davos District,"{'lat': 46.7209731, 'lng': 9.9219624}",8509073,Davos Platz,Davos,FALSE,
idsbb5210f3,Panoramawanderung Disentis–Sedrun.,Panoramawanderung Disentis–Sedrun.,46.7035071,8.8129801,/content/internet/plc/leisure-holidays/de/tagesausflug/panoramawanderung-disentis-sedrun.mapteaser.html,SBB_lh_hiking,Wandern,/content/dam/internet/upload/raw/images/0058313.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Grisons,Surselva District,"{'lat': 46.7035071, 'lng': 8.8129801}",8509179,Disentis/Mustér,Disentis,FALSE,
idsbba53235,Musée d'ethnographie (MEG) de Genève.,Musée d'ethnographie (MEG) de Genève.,46.1978907,6.134681,/content/internet/plc/leisure-holidays/de/veranstaltungen/tipp-meg.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/meg.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Geneva,Geneva,"{'lat': 46.1978907, 'lng': 6.134681}",8501008,Genève,Geneve,FALSE,
idsbbcd2cf7,Landesmuseum Zürich.,Landesmuseum Zürich.,47.3790558,8.5405492,/content/internet/plc/leisure-holidays/de/tagesausflug/landesmuseum-in-zurich.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/Landesmuseum_Zürich.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Zurich,Bezirk Zuerich,"{'lat': 47.3790558, 'lng': 8.5405492}",8591258,"Zürich, Lindenplatz",Zuerich (Kreis 1) / Lindenhof,FALSE,
idsbbe7c208,Museum Ariana.,Museum Ariana.,46.2254298,6.138802,/content/internet/plc/leisure-holidays/de/veranstaltungen/museum-ariana.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/musee_ariana_angebotsseite3200x2400.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Geneva,Geneva,"{'lat': 46.2254298, 'lng': 6.138802}",8592945,"Grand-Saconnex, Le Pommier",Le Grand-Saconnex,FALSE,
idsbb5f0dd4,Schloss Chillon.,Schloss Chillon.,46.4142131,6.9274924,/content/internet/plc/leisure-holidays/de/tagesausflug/chateau-de-chillon.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/Schloss-Chillon.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Vaud,Aigle District,"{'lat': 46.4142131, 'lng': 6.9274924}",8501303,Villeneuve,Villeneuve,TRUE,
idsbbfc5cd9,Swissminiatur Melide.,Swissminiatur Melide.,45.9534888,8.9508097,/content/internet/plc/leisure-holidays/de/tagesausflug/swissminiatur-melide.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/SwissminiaturMelide.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ticino,Lugano District,"{'lat': 45.9534888, 'lng': 8.9508097}",8505302,Melide,Melide,TRUE,
idsbbf90cda,Bourbaki Panorama.,Bourbaki Panorama.,47.0569262,8.3090642,/content/internet/plc/leisure-holidays/de/veranstaltungen/bourbaki-panorama.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/bourbakipanorama.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Lucerne,Lucerne-Stadt District,"{'lat': 47.0569262, 'lng': 8.3090642}",8505000,Luzern,Luzern,TRUE,
idsbb48d542,Altstadtführung Schaffhausen.,Altstadtführung Schaffhausen.,47.6958897,8.6380488,/content/internet/plc/leisure-holidays/de/tagesausflug/tipp-altstadtfuehrung-schaffhausen.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/AltstadtfuehrungSchaffhausen18.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Schaffhausen,Bezirk Schaffhausen,"{'lat': 47.6958897, 'lng': 8.6380488}",8503424,Schaffhausen,Schaffhausen,TRUE,
idsbbe16539,"«Bauhaus imaginista» im Zentrum Paul Klee, Bern.","«Bauhaus imaginista» im Zentrum Paul Klee, Bern.",46.94902275,7.4743876,/content/internet/plc/leisure-holidays/de/veranstaltungen/bauhaus-imaginista-zentrum-paul-klee.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/takehiko_mizutani3200x2400px300dpi.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bern,Bern-Mittelland District,"{'lat': 46.94902275, 'lng': 7.4743876}",8502215,Muri AG,Muri,FALSE,
idsbb722e7f,Internationales Museum der Reformation.,Internationales Museum der Reformation.,46.2013735,6.1463544,/content/internet/plc/leisure-holidays/de/veranstaltungen/tipp-museum-der-reformation.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/upload/raw/images/International_Museum_Reformation.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Geneva,Geneva,"{'lat': 46.2013735, 'lng': 6.1463544}",8501008,Genève,Geneve,FALSE,
idsbb1cc478,Matisse – Metamorphosen.,Matisse – Metamorphosen.,47.3702241,8.54797975,/content/internet/plc/leisure-holidays/de/tagesausflug/matisse.mapteaser.html,SBB_lh_art_culture_museums,Kunst_Kultur_&_Museen,/content/dam/internet/sharedimages/ff/KunsthausZuerich_3200x2400px_.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Zurich,Bezirk Zuerich,"{'lat': 47.3702241, 'lng': 8.54797975}",8591309,"Zürich, Rathaus",Zuerich (Kreis 1) / Rathaus,FALSE,
