id,title,subtitle,lat,lng,teaserUrl,category,category_ger,pic_url,loc_name,loc_admin1,loc_admin2,click
idsbbf1626a,Lac de Joux – Le Sentier.,Lac de Joux – Le Sentier.,46.64016115,6.29016944,/content/internet/plc/leisure-holidays/de/tagesausflug/lac-de-joux-le-sentier.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Lac-de-Joux.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,L'Abbaye,Vaud,Jura-Nord vaudois District,"{'lat': 46.64016115, 'lng': 6.29016944}"
idsbb74fb14,Wasserfall Jaun.,Wasserfall Jaun.,46.6095699,7.27735877,/content/internet/plc/leisure-holidays/de/tagesausflug/wasserfall-jaun.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/WasserfallJaun.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Charmey,Fribourg,Gruyere District,"{'lat': 46.6095699, 'lng': 7.27735877}"
idsbb330087,Splash e Spa Tamaro (mit Spa).,Splash e Spa Tamaro (mit Spa).,46.1263218,8.9208645,/content/internet/plc/leisure-holidays/de/tagesausflug/splash-e-spa-tamaro-mit-spa.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/splash-e-spa-tamaro-mit-spa.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Cadenazzo,Ticino,Bellinzona District,"{'lat': 46.1263218, 'lng': 8.9208645}"
idsbb1d96f4,Bergseen-Wanderung Heinzenberg.,Bergseen-Wanderung Heinzenberg.,46.6774394,9.3493842,/content/internet/plc/leisure-holidays/de/tagesausflug/bergseen-wanderung-heinzenberg.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/pascuminersee_2_copyrightdemateocom.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Cazis,Grisons,Hinterrhein District,"{'lat': 46.6774394, 'lng': 9.3493842}"
idsbb00d29c,Kitzelpfad um den Härzlisee.,Kitzelpfad um den Härzlisee.,46.84140713,8.41089249,/content/internet/plc/leisure-holidays/de/tagesausflug/kitzelpfad-um-den-haerzlisee.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/st0010342.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Engelberg,Obwalden,Obwalden,"{'lat': 46.84140713, 'lng': 8.41089249}"
idsbb422b68,Die Gruyère-Bäder.,Die Gruyère-Bäder.,46.6211359,7.1617004,/content/internet/plc/leisure-holidays/de/tagesausflug/les-bains-de-la-gruyere.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/sharedimages/ff/Les_bains_de_la_Gruyere_keyvisual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Charmey,Fribourg,Gruyere District,"{'lat': 46.6211359, 'lng': 7.1617004}"
idsbb4a4ecd,Thermalbad Zurzach.,Thermalbad Zurzach.,47.5877895,8.293324799999999,/content/internet/plc/leisure-holidays/de/tagesausflug/les-bains-de-zurzach.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/ThermalbadZurzach.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Bad Zurzach,Aargau,Bezirk Zurzach,"{'lat': 47.5877895, 'lng': 8.2933248}"
idsbbffbe27,Orte der Magie – Uors/Surcasti.,Orte der Magie – Uors/Surcasti.,46.7007527,9.1824463,/content/internet/plc/leisure-holidays/de/tagesausflug/orte-der-magie-uors-surcasti.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/UorsSurcasti.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ilanz,Grisons,Surselva District,"{'lat': 46.7007527, 'lng': 9.1824463}"
idsbb9453bd,Termali Salini & Spa Locarno.,Termali Salini & Spa Locarno.,46.162394299999995,8.8033726,/content/internet/plc/leisure-holidays/de/tagesausflug/termali-salini-spa-locarno.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/Termali-Salini-Spa-Locarno_Key-Visual.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Locarno,Ticino,Locarno District,"{'lat': 46.1623943, 'lng': 8.8033726}"
idsbb2c11c5,Anzère Spa & Wellness.,Anzère Spa & Wellness.,46.2972343,7.3901490999999995,/content/internet/plc/leisure-holidays/de/tagesausflug/anzere-spa-wellness.mapteaser.html,SBB_lh_wellness_relaxation,Wellness_&_Erholung,/content/dam/internet/upload/raw/images/anzere_wellness_spa.jpg/_jcr_content/renditions/cq5dam.web.1280.1280.jpeg,Ayent,Valais,Herens District,"{'lat': 46.2972343, 'lng': 7.3901491}"
